accelX.g.,accelY.g.,accelZ.g.,accelUserX.g.,accelUserY.g.,accelUserZ.g.,gyroX.rad.s.,gyroY.rad.s.,gyroZ.rad.s.,Roll.rads.,Pitch.rads.,Yaw.rads.,m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,ActivityType,ActivityConfidence,Pressure.kilopascals.,RelativeAltitude.meters.,magX.µT.,magY.µT.,magZ.µT.,calMagX.µT.,calMagY.µT.,calMagZ.µT.
0.0437,-0.6249,-0.7299,0.0137,0.0009,0.058,0.0985,0.0902,-0.0039,0.0347,0.6813,-0.0248,0.9996,-0.0029,-0.0269,0.0192,0.7765,0.6298,0.0191,-0.6301,0.7763,0.3342,0.0122,-0.0059,0.9424,Coche autopista,Low,97.0946,-0.214,-83.7579,111.1149,-431.1257,-29.1583,-62.2796,-5.518
0.0405,-0.6357,-0.7556,0.0119,-0.0026,0.0242,-0.0539,0.0716,-0.1416,0.0338,0.6803,2.1585,-0.5718,0.82,-0.0263,-0.647,-0.431,0.629,0.5044,0.3766,0.777,0.1434,0.3016,0.8336,0.4399,Coche autopista,Low,97.0946,-0.214,-81.7969,111.3383,-431.1034,-27.4829,-62.3509,-5.6623
-0.1734,-0.3077,-0.0805,-0.1732,0.3564,0.6277,-0.1249,0.0633,-0.021,-0.009,0.7131,2.1856,-0.5719,0.8203,0.0068,-0.6179,-0.4362,0.6542,0.5396,0.37,0.7563,0.1643,0.308,0.8313,0.4325,Coche autopista,Low,97.0946,-0.214,-84.2177,112.4243,-428.7804,-30.0247,-60.1669,-2.6941
0.1984,-0.4168,-1.0315,-0.0111,0.1551,-0.2601,-1.0331,1.0555,-1.2428,0.3746,0.385,1.9195,-0.4471,0.8277,-0.3391,-0.871,-0.3166,0.3755,0.2034,0.4633,0.8625,-0.0419,0.2588,0.8103,0.5241,Coche autopista,Low,97.0946,-0.214,-63.7441,125.6258,-435.6815,-8.1996,-47.8512,-9.0186
-0.0991,-0.6518,-0.8322,-0.1217,-0.2809,0.091,0.4942,0.2636,-1.5661,0.0522,0.384,1.8733,-0.3162,0.9475,-0.0483,-0.8851,-0.2762,0.3746,0.3416,0.1612,0.9259,0.0924,0.1688,0.7935,0.5774,Coche autopista,Low,97.0946,-0.214,-59.2428,130.6343,-429.509,-4.3889,-41.9097,-3.8719
-0.0382,-0.2162,-0.9711,-0.0754,0.0518,-0.0002,-0.8133,-0.3883,-0.0517,0.0116,0.2579,1.8729,-0.3003,0.9538,-0.0112,-0.9232,-0.2876,0.255,0.24,0.0869,0.9669,0.0716,0.107,0.7992,0.5871,Coche autopista,Low,97.0948,-0.2325,-56.2895,133.9709,-434.0543,-2.2268,-39.1749,-8.6838
0.0446,-0.3509,-0.9457,-0.0382,0.1282,0.0921,0.0575,0.0045,0.0087,0.0059,0.2527,1.885,-0.3105,0.9506,-0.0057,-0.9208,-0.2993,0.25,0.2359,0.0828,0.9682,0.0717,0.1037,0.8028,0.5828,Coche autopista,Low,97.0948,-0.2325,-56.2229,134.349,-433.4518,-1.9328,-39.1117,-8.0837
-0.0789,-0.2135,-1.0117,-0.0119,0.0065,-0.078,-0.1122,0.0548,0.0037,-0.0192,0.2549,1.9018,-0.3204,0.9471,0.0185,-0.9152,-0.3145,0.2522,0.2447,0.0638,0.9675,0.0816,0.098,0.8066,0.5772,Coche autopista,Low,97.0954,-0.2827,-56.9872,135.6674,-433.48,-3.2921,-37.7213,-8.3462
-0.0564,-0.2274,-0.9641,-0.0389,0.0575,-0.001,0.1622,0.0767,-0.01,-0.0248,0.2702,1.9157,-0.3318,0.9431,0.0239,-0.907,-0.3258,0.2669,0.2595,0.0669,0.9634,0.0875,0.1031,0.8095,0.5714,Coche autopista,Low,97.0954,-0.2827,-58.6188,134.3062,-432.7496,-4.4217,-38.5355,-7.6051
-0.0506,-0.2346,-0.9874,-0.0511,0.0129,-0.0079,-0.1508,0.0286,-0.0054,-0.014,0.2428,1.9208,-0.3397,0.9404,0.0136,-0.9118,-0.3328,0.2405,0.2307,0.0693,0.9706,0.0751,0.0953,0.8129,0.5697,Coche autopista,Low,97.0995,-0.6394,-59.0168,134.1957,-432.2654,-4.3927,-39.5952,-6.8553
0.008,-0.1808,-0.92,0.0305,-0.0083,0.052,-0.1782,-0.0196,0.0189,-0.0146,0.2158,1.9296,-0.3482,0.9373,0.0143,-0.9146,-0.343,0.2141,0.2056,0.0615,0.9767,0.0673,0.0844,0.8167,0.5669,Coche autopista,Low,97.1003,-0.7108,-59.1626,134.4219,-433.2527,-5.2903,-39.0171,-8.0459
0.0141,-0.1669,-1.0692,0.0645,0.0408,-0.1232,-0.0376,-0.0265,0.0096,-0.0278,0.2101,1.9372,-0.3527,0.9353,0.0272,-0.9131,-0.3504,0.2085,0.2046,0.0487,0.9776,0.0708,0.0786,0.8186,0.5645,Coche autopista,Low,97.1003,-0.7108,-59.4492,133.9911,-433.6537,-5.1646,-39.4943,-8.4803
-0.0956,-0.0854,-0.9913,-0.0355,0.0938,0.0283,0.1656,0.0261,0.0091,-0.0316,0.2032,1.9371,-0.352,0.9355,0.0309,-0.9144,-0.3508,0.2018,0.1996,0.0428,0.9789,0.0704,0.0747,0.8188,0.5648,Coche autopista,Low,97.1006,-0.7293,-59.3511,134.3311,-434.0405,-5.5508,-38.8238,-9.0181
-0.0179,-0.1154,-0.9872,0.0153,0.028,0.0053,-0.2759,0.0397,-0.0302,-0.019,0.1883,1.9342,-0.352,0.9358,0.0187,-0.9182,-0.3491,0.1872,0.1817,0.0487,0.9821,0.0612,0.072,0.819,0.5659,Coche autopista,Low,97.1006,-0.7293,-59.9075,132.9337,-433.2717,-5.8245,-40.288,-7.9205
-0.0097,-0.1391,-0.9702,-0.0015,0.0348,-0.0239,0.0826,0.0134,-0.0001,-0.0096,0.1653,1.9347,-0.3544,0.935,0.0095,-0.9218,-0.351,0.1646,0.1572,0.0496,0.9863,0.0508,0.0653,0.8203,0.5659,Coche autopista,Low,97.1015,-0.8059,-60.1637,133.7099,-433.0784,-6.0473,-39.8866,-7.7653
-0.0132,-0.0915,-0.9496,-0.0139,0.0173,0.037,-0.1327,0.0003,-0.0021,-0.0121,0.1487,1.9406,-0.3598,0.933,0.012,-0.9221,-0.3575,0.1482,0.1425,0.0423,0.9889,0.047,0.0579,0.8225,0.5638,Coche autopista,Low,97.1015,-0.8059,-60.1191,132.903,-432.3223,-5.7853,-40.6241,-6.9687
-0.008,-0.1812,-1.0323,0.0082,-0.0171,-0.0445,-0.0508,0.0243,0.0004,-0.0089,0.149,1.9455,-0.3647,0.9311,0.0088,-0.9203,-0.3619,0.1485,0.1414,0.0461,0.9889,0.0456,0.059,0.8239,0.5617,Coche autopista,Low,97.1015,-0.8059,-60.2811,132.966,-433.0963,-6.2872,-39.9598,-7.6552
0.0001,-0.198,-0.9032,0.009,-0.0536,-0.0046,-0.0828,0.0236,0.0004,-0.0059,0.1551,1.9509,-0.3702,0.9289,0.0059,-0.9175,-0.3666,0.1545,0.1456,0.0518,0.988,0.0459,0.0625,0.8253,0.5593,Coche autopista,Low,97.1015,-0.8059,-60.242,133.289,-433.1534,-6.3988,-39.9834,-7.6825
0.0012,-0.1759,-0.9041,0.0154,-0.0345,0.0822,0.0092,0.0189,-0.0014,0.0005,0.1648,1.9533,-0.3733,0.9277,-0.0005,-0.9152,-0.3681,0.1641,0.152,0.0617,0.9865,0.0459,0.0683,0.8258,0.5579,Coche autopista,Low,97.1003,-0.7029,-60.5768,133.3057,-433.1705,-6.1376,-39.9568,-7.7686
0.0346,-0.2227,-0.9088,0.0446,-0.0497,0.0424,0.0069,-0.0147,0.0092,0.0051,0.1776,1.9583,-0.3787,0.9255,-0.005,-0.9113,-0.3719,0.1767,0.1617,0.0714,0.9843,0.0474,0.075,0.8269,0.5554,Coche autopista,Low,97.1003,-0.7029,-60.3677,133.172,-433.0731,-6.0696,-40.12,-7.5355
0.0247,-0.1541,-1.0259,-0.0284,0.0005,0.0401,0.1802,-0.0154,0.0452,0.0076,0.1826,1.9704,-0.3903,0.9207,-0.0074,-0.9059,-0.3826,0.1816,0.1644,0.0776,0.9833,0.0473,0.0781,0.8301,0.5501,Coche autopista,Low,97.1003,-0.7029,-60.2101,133.4177,-432.4828,-6.1959,-40.0911,-7.1523
0.0112,-0.2404,-0.9989,0.0225,-0.03,-0.0776,-0.2893,0.051,-0.0077,0.0097,0.1907,1.9825,-0.4018,0.9157,-0.0095,-0.8998,-0.3929,0.1896,0.1699,0.0847,0.9818,0.0481,0.0823,0.8332,0.5448,Coche autopista,Low,97.1003,-0.7029,-60.3927,132.5314,-432.6758,-6.0926,-40.6951,-7.3977
0.0038,-0.1705,-0.9476,0.0311,0.0025,0.0038,0.0522,0.0218,0.0269,0.0119,0.1954,1.9955,-0.4141,0.9102,-0.0116,-0.8938,-0.4042,0.1942,0.172,0.0908,0.9809,0.0479,0.0852,0.8365,0.5391,Coche autopista,Low,97.1022,-0.8693,-60.5726,132.5326,-432.8627,-6.6509,-40.7496,-7.64
0.012,-0.1919,-0.8999,0.0554,-0.025,0.0031,0.2357,-0.0197,0.0443,0.0184,0.1982,2.0091,-0.4276,0.9038,-0.018,-0.8877,-0.4161,0.1969,0.1705,0.1002,0.9803,0.0454,0.0884,0.8402,0.5331,Coche autopista,Low,97.1022,-0.8693,-61.2129,132.5835,-433.5746,-7.1047,-40.4904,-8.2939
0.0198,-0.2011,-0.9076,0.026,-0.0277,-0.0332,0.1551,-0.0139,0.0455,0.0191,0.1986,2.027,-0.4438,0.8959,-0.0187,-0.8801,-0.4319,0.1973,0.1687,0.104,0.9802,0.0444,0.0892,0.845,0.5255,Coche autopista,Low,97.1041,-1.0358,-61.0069,133.0767,-433.4522,-7.1304,-40.075,-8.2042
0.0745,-0.212,-0.9784,0.0381,-0.0067,-0.0427,0.2109,0.0018,0.0478,0.0299,0.1941,2.0451,-0.4616,0.8866,-0.0293,-0.8729,-0.4481,0.1929,0.1579,0.1147,0.9808,0.0378,0.0904,0.8501,0.5174,Coche autopista,Low,97.1041,-1.0358,-61.2384,132.9011,-433.9531,-7.3954,-40.2068,-8.4578
0.0208,-0.1224,-1.0002,-0.0181,0.0571,-0.0008,-0.0166,0.0268,0.033,0.029,0.1746,2.0694,-0.4824,0.8755,-0.0286,-0.8649,-0.4709,0.1737,0.1386,0.1085,0.9844,0.0321,0.0823,0.857,0.5077,Coche autopista,Low,97.105,-1.1124,-62.0234,133.2308,-433.6586,-7.8253,-40.0166,-8.3175
0.0161,-0.0755,-0.9853,0.0051,0.039,-0.0281,-0.0214,0.0382,0.0196,0.0325,0.1188,2.0854,-0.4953,0.8681,-0.0323,-0.8643,-0.4887,0.1185,0.0871,0.0866,0.9924,0.0159,0.0594,0.8626,0.5021,Coche autopista,Low,97.105,-1.1124,-62.3203,133.0139,-433.7421,-8.3128,-40.142,-8.0823
0.0153,-0.1276,-0.9666,-0.0186,0.0004,0.0196,0.0898,0.0104,0.0243,0.0265,0.1276,2.1031,-0.5103,0.8596,-0.0263,-0.8546,-0.5034,0.1272,0.0961,0.0874,0.9915,0.0201,0.0619,0.8668,0.4944,Coche autopista,Low,97.106,-1.1996,-63.2554,134.3318,-432.8046,-9.1564,-39.0932,-7.6557
0.0286,-0.1874,-1.0143,-0.0024,-0.0493,-0.0262,-0.0484,0.0438,0.0145,0.033,0.1321,2.1157,-0.5218,0.8525,-0.0327,-0.8477,-0.5138,0.1317,0.0955,0.0965,0.9907,0.018,0.0656,0.8698,0.4887,Coche autopista,Low,97.106,-1.1996,-63.4076,134.2752,-433.2831,-9.2635,-39.0509,-7.908
0.0117,-0.1993,-0.9387,-0.0358,-0.0316,0.041,-0.0077,-0.0024,0.0169,0.0318,0.1737,2.1293,-0.5344,0.8447,-0.0313,-0.8353,-0.522,0.1729,0.1297,0.1186,0.9844,0.0282,0.0836,0.8719,0.4817,Coche autopista,Low,97.1071,-1.2921,-63.7174,133.8827,-433.7326,-9.814,-39.5925,-8.1971
0.0283,-0.1891,-0.9462,-0.0016,-0.0088,0.0337,-0.0196,0.023,0.0162,0.0276,0.1995,2.1384,-0.542,0.8399,-0.0271,-0.8264,-0.527,0.1982,0.1522,0.1298,0.9798,0.0358,0.0939,0.873,0.4772,Coche autopista,Low,97.1077,-1.3423,-63.6745,135.2223,-434.3704,-9.3702,-37.9008,-9.0305
-0.0153,-0.22,-0.9545,-0.0435,-0.0137,0.0267,0.0191,-0.0179,-0.0106,0.0183,0.2067,2.143,-0.5446,0.8385,-0.0179,-0.8228,-0.53,0.2052,0.1626,0.1265,0.9785,0.0414,0.0949,0.8737,0.4754,Coche autopista,Low,97.1077,-1.3423,-63.8156,135.352,-434.2903,-9.8352,-38.0849,-8.9665
0.0338,-0.179,-1.0125,0.0253,0.0173,0.0057,-0.1573,-0.0281,-0.0023,0.0071,0.2089,2.146,-0.5452,0.8383,-0.0069,-0.8209,-0.5321,0.2074,0.1702,0.1188,0.9782,0.0467,0.0933,0.874,0.4746,Coche autopista,Low,97.1084,-1.4004,-63.6021,134.9157,-434.1226,-9.6589,-38.2293,-8.9917
0.0188,-0.2653,-0.9728,-0.0026,-0.102,-0.0145,0.0081,0.0214,-0.0082,0.0092,0.2054,2.1456,-0.5452,0.8383,-0.009,-0.8217,-0.5322,0.204,0.1662,0.1186,0.9789,0.045,0.0923,0.8741,0.4747,Coche autopista,Low,97.1084,-1.4004,-64.2419,135.152,-434.6033,-9.9335,-37.769,-9.2632
-0.0036,-0.3127,-0.9083,-0.0157,-0.0806,0.1019,-0.0436,-0.0206,0.0032,-0.0021,0.2477,2.1545,-0.5507,0.8347,0.002,-0.809,-0.5343,0.2451,0.2057,0.1334,0.9695,0.0594,0.1083,0.8739,0.4702,Coche autopista,Low,97.1093,-1.4823,-64.4832,135.8469,-435.0753,-10.1969,-37.7631,-9.7274
-0.0629,-0.3193,-0.931,-0.068,-0.0916,0.0236,-0.028,0.0207,-0.0061,0.0052,0.2453,2.1577,-0.5549,0.8319,-0.005,-0.8077,-0.5372,0.2428,0.1993,0.1388,0.9701,0.0555,0.109,0.875,0.4685,Coche autopista,Low,97.1093,-1.4823,-63.8375,135.3053,-435.3802,-9.7147,-37.9129,-10.0941
-0.0275,-0.2667,-0.9869,-0.0212,-0.0582,-0.0634,0.037,-0.0065,0.0338,0.0096,0.2731,2.1659,-0.5627,0.8266,-0.0092,-0.7974,-0.5398,0.2697,0.218,0.1591,0.9629,0.0596,0.1225,0.8754,0.4638,Coche autopista,Low,97.1098,-1.522,-64.4757,134.7735,-435.2313,-10.3302,-38.594,-9.7835
0.1075,-0.1634,-0.9032,0.0415,0.0469,0.0688,0.3528,-0.0323,0.0443,0.0319,0.2488,2.1789,-0.5774,0.8158,-0.0309,-0.7955,-0.5537,0.2463,0.1838,0.1668,0.9687,0.0434,0.1173,0.8803,0.4576,Coche autopista,Low,97.1098,-1.522,-64.0698,134.8516,-435.2411,-9.7967,-38.4774,-9.8486
-0.0258,-0.2309,-1.1144,-0.0256,0.0101,-0.133,0.0111,-0.0229,0.0067,0.0069,0.2227,2.1878,-0.5798,0.8147,-0.0067,-0.7955,-0.5643,0.2209,0.1762,0.1335,0.9753,0.048,0.1003,0.8831,0.4558,Coche autopista,Low,97.1098,-1.522,-64.6371,134.0805,-434.6748,-10.1667,-38.9076,-9.2838
0.0077,-0.1581,-0.9995,0.0025,0.0721,0.0128,-0.0025,0.1119,-0.0491,0.0075,0.2035,2.1861,-0.5785,0.8157,-0.0073,-0.7997,-0.5653,0.2021,0.1607,0.1227,0.9793,0.0434,0.0919,0.8836,0.457,Coche autopista,Low,97.1098,-1.522,-64.0245,133.9623,-434.5974,-9.6453,-39.0503,-9.2748
0.0219,-0.0675,-0.9646,0.0647,0.092,0.0122,-0.044,0.0356,-0.0374,-0.0173,0.1558,2.1762,-0.5668,0.8237,0.0171,-0.8123,-0.5622,0.1552,0.1374,0.0741,0.9877,0.0438,0.0649,0.8827,0.4633,Coche autopista,Low,97.1101,-1.5484,-64.058,133.3032,-433.6501,-9.939,-39.9414,-8.328
-0.029,-0.0087,-0.9609,-0.0008,0.0945,0.0405,-0.0068,-0.0303,-0.062,-0.0189,0.0992,2.165,-0.5582,0.8295,0.0188,-0.8245,-0.5571,0.0991,0.0926,0.0398,0.9949,0.0316,0.0394,0.8818,0.4689,Coche autopista,Low,97.1101,-1.5484,-63.5593,133.5164,-433.0104,-9.7181,-39.5771,-7.9335
-0.0411,-0.0135,-1.0579,-0.0038,0.0303,-0.0409,-0.0472,-0.0226,-0.052,-0.0258,0.0702,2.1505,-0.5461,0.8373,0.0257,-0.8346,-0.5464,0.0701,0.0727,0.0168,0.9972,0.028,0.0247,0.8789,0.4756,Coche autopista,Low,97.1101,-1.5484,-63.5206,133.2896,-433.1139,-9.3241,-39.9049,-7.836
-0.0027,-0.0508,-0.9611,0.0111,-0.0209,0.0491,-0.1334,0.021,-0.0207,-0.0156,0.0525,2.1423,-0.5401,0.8414,0.0155,-0.8399,-0.5401,0.0525,0.0525,0.0153,0.9985,0.0194,0.0193,0.8773,0.4791,Coche autopista,Low,97.1101,-1.5484,-64.005,133.7815,-433.2885,-9.8313,-39.4782,-7.8131
0.0076,-0.214,-0.9617,0.0176,-0.0615,0.0247,-0.0893,-0.0258,0.0193,-0.0155,0.1445,2.1479,-0.5436,0.8392,0.0153,-0.8293,-0.5399,0.144,0.1291,0.0656,0.9895,0.0412,0.0598,0.8765,0.4759,Coche autopista,Low,97.1102,-1.5563,-63.8624,134.9164,-434.601,-9.5968,-38.5631,-9.4518
-0.0177,-0.2539,-0.9443,-0.016,-0.0771,0.0359,-0.035,-0.0032,0.0215,-0.0024,0.1763,2.1576,-0.5533,0.8329,0.0023,-0.8198,-0.5451,0.1754,0.1474,0.0952,0.9845,0.0426,0.077,0.8779,0.4706,Coche autopista,Low,97.1102,-1.5563,-64.4482,135.5686,-434.7228,-10.3587,-37.953,-9.5707
0.0407,-0.1871,-1.0153,0.054,0.0236,-0.0468,-0.088,0.0244,0.0077,0.001,0.2241,2.1679,-0.5624,0.8269,-0.001,-0.8063,-0.5482,0.2222,0.1832,0.1258,0.975,0.0519,0.0991,0.8783,0.4649,Coche autopista,Low,97.1102,-1.5563,-64.447,135.4522,-435.3741,-10.2482,-38.0078,-9.8856
0.0281,-0.2304,-1.0112,0.007,-0.0237,-0.0299,0.1058,0.064,0.006,0.0159,0.224,2.168,-0.5652,0.8248,-0.0155,-0.8063,-0.5483,0.2221,0.1747,0.138,0.9749,0.0453,0.1025,0.8787,0.4641,Coche autopista,Low,97.1102,-1.5563,-64.4675,135.6683,-435.6378,-10.2815,-37.5522,-10.3259
-0.0001,-0.2723,-1.0049,-0.003,-0.0202,-0.0393,-0.0742,0.006,-0.0152,0.0003,0.2556,2.1653,-0.5601,0.8284,-0.0003,-0.8015,-0.5419,0.2529,0.2093,0.1418,0.9675,0.0597,0.1126,0.876,0.4652,Coche autopista,Low,97.1103,-1.5642,-64.4132,135.5556,-436.1208,-10.1313,-37.836,-10.6077
-0.0322,-0.2725,-0.9825,0.019,-0.0052,-0.0528,0.1145,0.0044,-0.042,0.0041,0.2475,2.152,-0.5499,0.8352,-0.0039,-0.8103,-0.5323,0.245,0.2025,0.1379,0.9695,0.0568,0.1096,0.8735,0.471,Coche autopista,Low,97.1103,-1.5642,-63.637,135.6029,-435.9063,-9.5705,-37.8746,-10.5375
0.0083,-0.1303,-0.849,0.0066,0.0758,0.1106,0.1456,-0.0334,-0.0348,0.0002,0.2377,2.1352,-0.5349,0.8449,-0.0002,-0.8212,-0.5198,0.2354,0.1988,0.1261,0.9719,0.0571,0.1039,0.8699,0.4788,Coche autopista,Low,97.1103,-1.5642,-63.2129,136.0796,-435.7698,-9.2812,-37.373,-10.525
0.0107,-0.1581,-0.9974,0.0049,0.0648,-0.0254,0.0013,0.022,-0.0388,0.0008,0.2322,2.1178,-0.5203,0.854,-0.0008,-0.8312,-0.5062,0.2301,0.1961,0.1204,0.9732,0.0564,0.1012,0.866,0.4865,Coche autopista,Low,97.1103,-1.5642,-63.1278,135.88,-435.8813,-8.9146,-37.2687,-10.3675
-0.0104,-0.2045,-0.967,0.0027,0.0109,-0.0212,-0.0154,0.0349,-0.0448,0.0043,0.2148,2.1016,-0.507,0.8619,-0.0042,-0.8426,-0.4946,0.2132,0.1817,0.1116,0.977,0.0514,0.0941,0.8629,0.4938,Coche autopista,Low,97.1103,-1.5642,-62.7495,135.9868,-435.6876,-8.5732,-37.3165,-10.146
0.0117,-0.2155,-0.917,0.0469,-0.0816,0.0496,-0.0094,-0.0538,-0.0224,0.009,0.2031,2.0905,-0.4982,0.867,-0.0088,-0.8501,-0.4864,0.2017,0.1706,0.108,0.9794,0.047,0.09,0.8608,0.4987,Coche autopista,Low,97.1103,-1.5642,-63.2516,135.8483,-435.4302,-8.9484,-37.7362,-10.1123
-0.002,-0.2313,-0.927,0.0133,-0.0443,0.0139,-0.0385,0.0127,-0.0046,0.0151,0.2177,2.0841,-0.4938,0.8694,-0.0147,-0.8506,-0.4794,0.216,0.1807,0.1192,0.9763,0.0483,0.0976,0.8587,0.5008,Coche autopista,Low,97.1103,-1.5642,-62.8038,135.0393,-434.7281,-8.7468,-38.2326,-9.4035
0.0224,-0.2103,-0.9635,0.0108,-0.0133,0.0013,0.0016,0.0142,-0.0202,0.0167,0.2225,2.0772,-0.4882,0.8726,-0.0163,-0.853,-0.4731,0.2206,0.1848,0.1216,0.9752,0.0492,0.0999,0.8568,0.5035,Coche autopista,Low,97.1103,-1.5642,-61.7753,134.763,-434.4212,-7.4074,-38.5241,-8.9992
0.0167,-0.2297,-1.0304,0.005,-0.0111,-0.0574,0.0452,-0.0271,0.0051,0.0165,0.2208,2.0763,-0.4874,0.873,-0.0161,-0.8537,-0.4725,0.219,0.1836,0.1205,0.9756,0.0489,0.0991,0.8567,0.5039,Coche autopista,Low,97.1103,-1.5642,-60.118,134.7485,-434.5462,-6.027,-38.6334,-9.2106
0.0054,-0.1943,-1.0077,-0.0144,0.0115,-0.0106,-0.0361,-0.0077,0.0027,0.0174,0.2239,2.0784,-0.4894,0.8719,-0.0169,-0.8521,-0.4739,0.2221,0.1856,0.1231,0.9749,0.0492,0.1007,0.8571,0.5029,Coche autopista,Low,97.11,-1.5378,-60.5881,134.7633,-434.8723,-6.2165,-38.7059,-9.7812
