"accelX.g.","accelY.g.","accelZ.g.","accelUserX.g.","accelUserY.g.","accelUserZ.g.","gyroX.rad.s.","gyroY.rad.s.","gyroZ.rad.s.","Roll.rads.","Pitch.rads.","Yaw.rads.","m11","m12","m13","m21","m22","m23","m31","m32","m33","qX","qY","qZ","qW","ActivityType","ActivityConfidence","Pressure.kilopascals.","RelativeAltitude.meters.","magX.µT.","magY.µT.","magZ.µT.","calMagX.µT.","calMagY.µT.","calMagZ.µT."
0.7491,0.0179,0.6625,0.0155,-0.0749,0.0835,-0.9299,0.6129,0.4261,2.2264,-0.0904,-3.0885,0.605,0.1038,-0.7894,0.0529,-0.9945,-0.0903,-0.7945,0.0129,-0.6072,0.8954,0.0438,-0.4422,-0.0288,"Bicleta","Med",100.7013,-0.9882,105.0841,112.9767,-383.1572,45.451,4.9557,2.6874
0.6866,0.0033,0.6448,-0.0595,-0.0679,0.0408,-0.9055,0.7696,0.4283,2.2338,-0.0815,-3.0841,0.6108,0.0994,-0.7855,0.0573,-0.995,-0.0814,-0.7897,0.0047,-0.6134,0.8971,0.0437,-0.439,-0.024,"Bicleta","Med",100.7013,-0.9882,105.0841,112.9767,-383.1572,45.451,4.9557,2.6874
0.662,0.0041,0.6479,-0.1046,-0.07,0.0234,-0.9136,0.8444,0.4377,2.2422,-0.0726,-3.0796,0.6174,0.0952,-0.7809,0.0618,-0.9955,-0.0725,-0.7842,-0.0035,-0.6205,0.8991,0.0436,-0.4352,-0.0192,"Bicleta","Med",100.7013,-0.9882,105.0841,112.9767,-383.1572,45.4518,4.6203,3.551
0.6586,-0.006,0.6743,-0.1169,-0.0601,0.0248,-0.9047,0.8827,0.4589,2.2511,-0.0634,-3.0755,0.6244,0.0907,-0.7758,0.0659,-0.9958,-0.0634,-0.7783,-0.0115,-0.6278,0.9011,0.0434,-0.4312,-0.0144,"Bicleta","Med",100.7013,-0.9882,105.0841,112.9767,-383.1572,45.4518,4.6203,3.551
0.6758,-0.0239,0.7278,-0.1088,-0.0658,0.0534,-0.8597,0.9453,0.49,2.2605,-0.0543,-3.0717,0.6318,0.0862,-0.7703,0.0697,-0.9961,-0.0542,-0.772,-0.0194,-0.6354,0.9032,0.0431,-0.4269,-0.0096,"Bicleta","Med",100.7013,-0.9882,105.1915,112.2581,-381.6036,45.6321,4.2582,4.2649
0.71,-0.0396,0.7727,-0.0799,-0.0732,0.0999,-0.8061,1.0124,0.5312,2.2704,-0.0451,-3.0688,0.6397,0.0812,-0.7643,0.0726,-0.9963,-0.0451,-0.7652,-0.0267,-0.6433,0.9054,0.0425,-0.4223,-0.0051,"Bicleta","Med",100.7013,-0.9882,105.1915,112.2581,-381.6036,45.6321,4.2582,4.2649
0.76,-0.0667,0.8031,-0.0344,-0.0827,0.132,-0.7508,1.0678,0.5776,2.281,-0.0359,-3.0664,0.6481,0.0761,-0.7578,0.0751,-0.9965,-0.0359,-0.7579,-0.0336,-0.6515,0.9078,0.0416,-0.4174,-6e-04,"Bicleta","Med",100.7013,-0.9882,105.1915,112.2581,-381.6036,45.3544,3.8076,4.9365
0.8182,-0.0938,0.8079,0.0271,-0.1014,0.1472,-0.6967,1.1508,0.6366,2.292,-0.0267,-3.0652,0.6569,0.0704,-0.7507,0.0763,-0.9967,-0.0267,-0.7501,-0.0397,-0.6601,0.9102,0.0403,-0.4122,0.0036,"Bicleta","Med",100.7013,-0.9882,105.1915,112.2581,-381.6036,45.3544,3.8076,4.9365
0.864,-0.1325,0.8041,0.0907,-0.1223,0.1377,-0.6521,1.3004,0.7034,2.3043,-0.0173,-3.0645,0.6665,0.0643,-0.7427,0.077,-0.9969,-0.0173,-0.7415,-0.0456,-0.6694,0.9128,0.0387,-0.4065,0.0078,"Bicleta","Med",100.7013,-0.9882,104.9515,111.2063,-380.2582,45.369,3.2034,5.9685
0.9044,-0.1439,0.7801,0.143,-0.148,0.1198,-0.5752,1.45,0.7372,2.3181,-0.0079,-3.0651,0.6773,0.0577,-0.7335,0.0764,-0.997,-0.0079,-0.7318,-0.0507,-0.6797,0.9157,0.0366,-0.4,0.0117,"Bicleta","Med",100.7013,-0.9882,104.9515,111.2063,-380.2582,45.369,3.2034,5.9685
0.9225,-0.1416,0.744,0.1905,-0.1414,0.0785,-0.4869,1.5753,0.7416,2.3333,0.001,-3.0662,0.6888,0.0513,-0.7231,0.0753,-0.9972,0.001,-0.721,-0.0551,-0.6907,0.9188,0.0344,-0.393,0.0153,"Bicleta","Med",100.7013,-0.9882,104.9515,111.2063,-380.2582,45.1465,2.6073,7.1102
0.9144,-0.1419,0.7193,0.21,-0.1334,0.0322,-0.3873,1.7196,0.7223,2.3499,0.0092,-3.0685,0.7012,0.0448,-0.7115,0.073,-0.9973,0.0092,-0.7092,-0.0584,-0.7026,0.9221,0.0319,-0.3852,0.0183,"Bicleta","Med",100.7013,-0.9882,104.9515,111.2063,-380.2582,45.1465,2.6073,7.1102
0.8951,-0.1294,0.7024,0.2112,-0.1228,-0.0014,-0.2934,1.8741,0.6816,2.3679,0.0164,-3.071,0.7143,0.039,-0.6987,0.0705,-0.9974,0.0164,-0.6962,-0.061,-0.7152,0.9256,0.0296,-0.3768,0.0209,"Bicleta","Med",100.7013,-0.9882,104.7653,109.9326,-377.6349,44.9534,1.8341,8.4452
0.8634,-0.1214,0.6929,0.2021,-0.1032,-0.0296,-0.237,1.9878,0.6452,2.3874,0.0228,-3.0743,0.7282,0.0335,-0.6845,0.0673,-0.9975,0.0228,-0.682,-0.0626,-0.7286,0.9293,0.0271,-0.3676,0.023,"Bicleta","Med",100.7013,-0.9882,104.7653,109.9326,-377.6349,44.9534,1.8341,8.4452
0.8283,-0.1175,0.6898,0.1837,-0.0912,-0.0523,-0.1731,2.0979,0.6373,2.4079,0.0285,-3.0774,0.7424,0.0286,-0.6693,0.0641,-0.9975,0.0285,-0.6669,-0.0641,-0.7424,0.9331,0.0249,-0.358,0.0248,"Bicleta","Med",100.7013,-0.9882,104.7653,109.9326,-377.6349,44.5075,1.3624,9.8707
