"accelX.g.","accelY.g.","accelZ.g.","accelUserX.g.","accelUserY.g.","accelUserZ.g.","gyroX.rad.s.","gyroY.rad.s.","gyroZ.rad.s.","Roll.rads.","Pitch.rads.","Yaw.rads.","m11","m12","m13","m21","m22","m23","m31","m32","m33","qX","qY","qZ","qW","ActivityType","ActivityConfidence","Pressure.kilopascals.","RelativeAltitude.meters.","magX.µT.","magY.µT.","magZ.µT.","calMagX.µT.","calMagY.µT.","calMagZ.µT."
-0.4829,0.879,-0.64,-0.0875,0.1564,-0.077,0.3705,-0.4153,-0.2858,-0.6125,-0.8165,1.0747,0.0209,0.919,0.3937,-0.6022,0.3259,-0.7288,-0.7981,-0.2218,0.5603,-0.1835,-0.4315,0.5508,0.6905,"Andando","Med",102.0587,35.5128,89.4223,109.3237,-677.7698,-15.8851,12.72,-44.5176
-0.4851,0.8479,-0.6653,-0.0886,0.1263,-0.0983,0.2513,-0.263,-0.2587,-0.6151,-0.8133,1.0739,0.0207,0.9178,0.3965,-0.604,0.3275,-0.7266,-0.7967,-0.2244,0.5612,-0.1817,-0.4318,0.5507,0.6909,"Andando","Med",102.0587,35.5128,89.4223,109.3237,-677.7698,-15.8851,12.72,-44.5176
-0.4865,0.8363,-0.6807,-0.0872,0.113,-0.1184,0.1528,-0.12,-0.2161,-0.6164,-0.811,1.0735,0.021,0.9171,0.3982,-0.6053,0.3286,-0.725,-0.7957,-0.2258,0.562,-0.1805,-0.4317,0.5506,0.6913,"Andando","Med",102.0587,35.5128,88.2521,108.6669,-677.759,-16.0667,12.5166,-44.4906
-0.4975,0.8224,-0.6734,-0.0967,0.1024,-0.1125,0.0942,0.008,-0.1635,-0.6164,-0.8094,1.0728,0.0222,0.9167,0.3989,-0.6061,0.3296,-0.7239,-0.795,-0.2257,0.563,-0.18,-0.4314,0.5503,0.6919,"Andando","Med",102.0587,35.5128,88.2521,108.6669,-677.759,-16.0667,12.5166,-44.4906
-0.4963,0.7916,-0.6615,-0.0985,0.0767,-0.1001,0.0504,0.0879,-0.1231,-0.616,-0.8083,1.0726,0.0229,0.9166,0.3991,-0.6068,0.33,-0.7231,-0.7945,-0.2256,0.5638,-0.1797,-0.4311,0.5502,0.6922,"Andando","Med",102.0587,35.5128,88.2521,108.6669,-677.759,-16.1897,12.2922,-44.4555
-0.4834,0.7481,-0.6498,-0.0873,0.0336,-0.0884,0.0079,0.0829,-0.0981,-0.6162,-0.8076,1.0719,0.0237,0.9164,0.3995,-0.607,0.3307,-0.7226,-0.7943,-0.2254,0.5641,-0.1795,-0.431,0.5499,0.6926,"Andando","Med",102.0587,35.5128,88.2521,108.6669,-677.759,-16.1897,12.2922,-44.4555
-0.4591,0.715,-0.6251,-0.0639,-0.0017,-0.0677,-0.0044,-0.007,-0.0856,-0.6173,-0.8068,1.0719,0.0231,0.916,0.4004,-0.6075,0.331,-0.7221,-0.794,-0.2265,0.5641,-0.1789,-0.4312,0.55,0.6925,"Andando","Med",102.0587,35.5128,88.0488,108.5719,-677.5775,-16.015,11.9203,-44.453
-0.4101,0.709,-0.5034,-0.0052,-0.012,0.0533,0.0178,-0.127,-0.0746,-0.6235,-0.8026,1.0745,0.0173,0.9138,0.4057,-0.611,0.3308,-0.7192,-0.7915,-0.2354,0.5641,-0.1749,-0.4329,0.5513,0.6914,"Andando","Med",102.0587,35.5128,88.0488,108.5719,-677.5775,-16.284,11.6559,-44.5556
-0.4101,0.709,-0.5034,-0.0016,0.0016,0.0828,0.205,-0.3254,-0.0448,-0.6246,-0.8015,1.0753,0.0161,0.9134,0.4068,-0.612,0.3307,-0.7184,-0.7907,-0.2374,0.5643,-0.174,-0.4331,0.5517,0.6912,"Andando","Med",102.0587,35.5128,88.0488,108.5719,-677.5775,-16.284,11.6559,-44.5556
-0.4083,0.7218,-0.4772,0.0046,0.0091,0.1017,0.26,-0.369,-0.0511,-0.627,-0.7989,1.0773,0.0133,0.9123,0.4093,-0.6143,0.3304,-0.7166,-0.789,-0.2418,0.5648,-0.1718,-0.4337,0.5525,0.6908,"Andando","Med",102.0587,35.5128,87.7774,108.5337,-677.4669,-16.284,11.6559,-44.5556
-0.4025,0.7271,-0.4606,0.0061,0.0102,0.102,0.3012,-0.4498,-0.0772,-0.6285,-0.7974,1.0786,0.0115,0.9117,0.4107,-0.6157,0.3301,-0.7155,-0.7879,-0.2446,0.5651,-0.1705,-0.434,0.553,0.6904,"Andando","Med",102.0587,35.5128,87.7774,108.5337,-677.4669,-16.4179,11.4412,-44.3636
-0.3885,0.7383,-0.4566,0.0238,0.0227,0.1089,0.3259,-0.5646,-0.0802,-0.6321,-0.7941,1.0807,0.0079,0.9102,0.4141,-0.6184,0.3299,-0.7133,-0.7858,-0.2505,0.5655,-0.1677,-0.4349,0.554,0.6898,"Andando","Med",102.0587,35.5128,87.7774,108.5337,-677.4669,-16.4179,11.4412,-44.3636
-0.3885,0.7383,-0.4566,0.0309,0.0361,0.103,0.3259,-0.5646,-0.0802,-0.6343,-0.7925,1.0819,0.0058,0.9093,0.4161,-0.6198,0.3298,-0.7121,-0.7847,-0.2538,0.5655,-0.1662,-0.4355,0.5545,0.6894,"Andando","Med",102.0587,35.5128,87.7774,108.5337,-677.4669,-16.4179,11.4412,-44.3636
-0.3843,0.751,-0.4653,0.033,0.0373,0.1028,0.3073,-0.6969,-0.0739,-0.6369,-0.7909,1.0832,0.0031,0.9083,0.4182,-0.6213,0.3294,-0.711,-0.7836,-0.2576,0.5654,-0.1645,-0.4362,0.5552,0.6888,"Andando","Med",102.0587,35.5128,86.8636,108.3919,-677.5638,-16.9067,11.0021,-44.4188
-0.3685,0.7632,-0.4857,0.0501,0.0523,0.0841,0.3073,-0.6969,-0.0739,-0.6432,-0.788,1.085,-0.0024,0.9061,0.423,-0.6237,0.3293,-0.7089,-0.7817,-0.2655,0.5644,-0.1612,-0.438,0.5562,0.6876,"Andando","Med",102.0587,35.5128,86.8636,108.3919,-677.5638,-16.9067,11.0021,-44.4188
-0.3468,0.7693,-0.5113,0.0781,0.0616,0.0551,0.2418,-0.7815,-0.0855,-0.6502,-0.7854,1.0865,-0.0082,0.9037,0.428,-0.6258,0.3292,-0.7071,-0.78,-0.2736,0.5628,-0.1579,-0.4401,0.5572,0.6863,"Andando","Med",102.0587,35.5128,86.8636,108.3919,-677.5638,-17.5675,10.9271,-44.2824
-0.3513,0.765,-0.5173,0.0848,0.0613,0.0447,0.1707,-0.6074,-0.0918,-0.6565,-0.7832,1.0874,-0.0131,0.9015,0.4325,-0.6275,0.3294,-0.7056,-0.7785,-0.2806,0.5613,-0.155,-0.4419,0.5579,0.6851,"Andando","Med",102.0587,35.5128,86.8636,108.3919,-677.5638,-17.5675,10.9271,-44.2824
-0.3903,0.7579,-0.5207,0.0556,0.0541,0.0404,0.1707,-0.6074,-0.0918,-0.6609,-0.7812,1.0886,-0.0168,0.8999,0.4359,-0.6291,0.3293,-0.7041,-0.7771,-0.286,0.5606,-0.1527,-0.4432,0.5586,0.6843,"Andando","Med",102.0587,35.5128,85.7571,107.5956,-676.8615,-18.116,10.8288,-43.9628
-0.4365,0.7654,-0.5243,0.0089,0.0604,0.0376,0.1611,-0.3741,-0.0663,-0.6626,-0.7795,1.0898,-0.0185,0.899,0.4376,-0.6306,0.3291,-0.7029,-0.7759,-0.289,0.5608,-0.1513,-0.4435,0.5591,0.684,"Andando","Med",102.0587,35.5128,85.7571,107.5956,-676.8615,-18.116,10.8288,-43.9628
-0.4573,0.7729,-0.5312,-0.0176,0.07,0.0321,0.1453,-0.1316,-0.0291,-0.6623,-0.7782,1.0912,-0.0191,0.8988,0.438,-0.6318,0.3286,-0.702,-0.7749,-0.2901,0.5616,-0.1505,-0.4433,0.5595,0.6839,"Andando","Med",102.0587,35.5128,85.7571,107.5956,-676.8615,-18.1384,10.5917,-43.9468
-0.4488,0.7749,-0.542,-0.0147,0.0727,0.0227,0.0882,3e-04,-0.0042,-0.6617,-0.7776,1.092,-0.0191,0.8988,0.4379,-0.6324,0.3283,-0.7016,-0.7744,-0.2903,0.5622,-0.1503,-0.4431,0.5597,0.684,"Andando","Med",102.0587,35.5128,85.7571,107.5956,-676.8615,-18.1384,10.5917,-43.9468
