Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
27-Aug-2023 11:33:41.532,-0.0908,-0.1691,-1.0157,-0.0202,-0.0585, 0.0240,-0.1268,-0.0178,-0.0496,-0.0681, 0.1421,-1.4173, 0.1430,-0.9874, 0.0673, 0.9783, 0.1514, 0.1416,-0.1500, 0.0456, 0.9876, 0.0318,-0.0719,-0.6506, 0.7553,Unknown,Low, 97.5072,-1.0331,-87.9205, 184.9790,-435.7032, 2.7563, 19.4279, 5.9409
27-Aug-2023 11:33:41.541,-0.0762,-0.0946,-0.9487, 0.0005, 0.0176,-0.0197,-0.1481,-0.0145, 0.0081,-0.0689, 0.1410,-1.4173, 0.1430,-0.9874, 0.0681, 0.9784, 0.1514, 0.1405,-0.1490, 0.0466, 0.9877, 0.0311,-0.0719,-0.6506, 0.7553,Unknown,Low, 97.5072,-1.0331,-87.9205, 184.9790,-435.7032, 2.7563, 19.4279, 5.9409
27-Aug-2023 11:33:41.551,-0.1043,-0.1060,-0.9124,-0.0451, 0.0402, 0.0655,-0.1195, 0.0514,-0.0111,-0.0685, 0.1396,-1.4181, 0.1423,-0.9875, 0.0678, 0.9788, 0.1506, 0.1392,-0.1476, 0.0466, 0.9879, 0.0307,-0.0713,-0.6510, 0.7551,Unknown,Low, 97.5072,-1.0331,-87.9205, 184.9790,-435.7032, 2.8289, 19.6292, 6.2028
27-Aug-2023 11:33:41.561,-0.0655,-0.1249,-0.9792,-0.0009, 0.0200, 0.0663,-0.1483,-0.0636,-0.0160,-0.0690, 0.1381,-1.4180, 0.1425,-0.9874, 0.0683, 0.9789, 0.1508, 0.1377,-0.1463, 0.0473, 0.9881, 0.0299,-0.0710,-0.6509, 0.7552,Unknown,Low, 97.5072,-1.0331,-87.6878, 184.6316,-435.2422, 3.3486, 19.0323, 6.5773
27-Aug-2023 11:33:41.571,-0.0642,-0.1084,-1.0840,-0.0106, 0.0243,-0.0463,-0.0404,-0.0094, 0.0025,-0.0684, 0.1361,-1.4183, 0.1423,-0.9875, 0.0678, 0.9793, 0.1505, 0.1357,-0.1442, 0.0470, 0.9884, 0.0294,-0.0702,-0.6511, 0.7552,Unknown,Low, 97.5072,-1.0331,-87.6878, 184.6316,-435.2422, 3.3486, 19.0323, 6.5773
27-Aug-2023 11:33:41.582,-0.0527,-0.1765,-1.0826, 0.0145,-0.0018,-0.1019, 0.1926, 0.0002,-0.0297,-0.0683, 0.1375,-1.4180, 0.1426,-0.9875, 0.0676, 0.9790, 0.1508, 0.1371,-0.1456, 0.0466, 0.9882, 0.0300,-0.0706,-0.6509, 0.7552,Unknown,Low, 97.5072,-1.0331,-87.6878, 184.6316,-435.2422, 3.4051, 19.0544, 6.3173
27-Aug-2023 11:33:41.592,-0.0257,-0.1814,-0.9807, 0.0273,-0.0344,-0.0697, 0.3769,-0.0030, 0.0245,-0.0680, 0.1412,-1.4178, 0.1426,-0.9875, 0.0672, 0.9785, 0.1509, 0.1408,-0.1491, 0.0457, 0.9878, 0.0315,-0.0716,-0.6508, 0.7552,Unknown,Low, 97.5072,-1.0331,-87.6878, 184.6316,-435.2422, 3.4051, 19.0544, 6.3173
27-Aug-2023 11:33:41.602,-0.0952,-0.1468,-0.8917, 0.0170,-0.0420, 0.0585, 0.2376, 0.0369,-0.0382,-0.0686, 0.1447,-1.4176, 0.1425,-0.9875, 0.0679, 0.9780, 0.1510, 0.1442,-0.1527, 0.0458, 0.9872, 0.0326,-0.0730,-0.6507, 0.7551,Unknown,Low, 97.5072,-1.0331,-87.7980, 184.7842,-435.7691, 2.9891, 19.1803, 6.1088
27-Aug-2023 11:33:41.611,-0.0932,-0.0887,-0.9427,-0.0231, 0.0369, 0.0911,-0.1237,-0.0757, 0.0011,-0.0691, 0.1463,-1.4175, 0.1424,-0.9875, 0.0683, 0.9777, 0.1510, 0.1457,-0.1542, 0.0460, 0.9870, 0.0330,-0.0737,-0.6507, 0.7550,Unknown,Low, 97.5072,-1.0331,-87.7980, 184.7842,-435.7691, 2.9891, 19.1803, 6.1088
27-Aug-2023 11:33:41.621,-0.1085,-0.1163,-1.0161,-0.0494, 0.0506,-0.0019,-0.3475, 0.0310,-0.0113,-0.0692, 0.1438,-1.4182, 0.1419,-0.9875, 0.0684, 0.9782, 0.1505, 0.1433,-0.1518, 0.0466, 0.9873, 0.0320,-0.0729,-0.6510, 0.7549,Unknown,Low, 97.5072,-1.0331,-87.7980, 184.7842,-435.7691, 3.0634, 19.3527, 6.0851
