Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
12-Aug-2023 12:11:55.657,-0.0581,-0.4989,-0.8257, 0.0241,-0.0093, 0.0414, 0.0987,-0.0165,-0.0208,-0.0957, 0.5093,-1.3614, 0.1613,-0.9834, 0.0834, 0.8540, 0.1815, 0.4875,-0.4946,-0.0074, 0.8691,-0.1664, 0.1943, 0.6177,-0.7436,Unknown,Low, 100.8427, 1.3899,-102.5326, 316.7209,-437.3290, 4.0352, 1.5812,-37.1916
12-Aug-2023 12:11:55.757,-0.0749,-0.4917,-0.8451, 0.0095, 0.0040, 0.0244, 0.0801,-0.0172, 0.0406,-0.0969, 0.5182,-1.3533, 0.1680,-0.9822, 0.0840, 0.8482, 0.1875, 0.4954,-0.5023,-0.0120, 0.8646,-0.1702, 0.1967, 0.6142,-0.7450,Unknown,Low, 100.8427, 1.3899,-102.4904, 316.0641,-437.4435, 3.8205, 0.9901,-37.1526
12-Aug-2023 12:11:55.858,-0.0831,-0.4887,-0.8455, 0.0017, 0.0017, 0.0227,-0.1333,-0.0966,-0.0158,-0.0991, 0.5143,-1.3522, 0.1683,-0.9820, 0.0861, 0.8499, 0.1888, 0.4920,-0.4994,-0.0096, 0.8663,-0.1682, 0.1963, 0.6143,-0.7456,Unknown,Low, 100.8427, 1.3899,-102.5967, 316.7222,-437.6386, 3.9130, 1.2287,-37.2098
12-Aug-2023 12:11:55.958,-0.0933,-0.4978,-0.8456,-0.0086,-0.0099, 0.0246,-0.0636, 0.0199,-0.0480,-0.0974, 0.5108,-1.3543, 0.1674,-0.9822, 0.0848, 0.8520, 0.1874, 0.4889,-0.4961,-0.0096, 0.8682,-0.1672, 0.1948, 0.6151,-0.7455,Unknown,Low, 100.8427, 1.3899,-102.4269, 316.6501,-437.6223, 3.9130, 1.2648,-37.0507
12-Aug-2023 12:11:56.059,-0.0859,-0.4860,-0.8594, 0.0029,-0.0020, 0.0099,-0.0510, 0.0171, 0.0057,-0.0992, 0.5063,-1.3529, 0.1682,-0.9819, 0.0866, 0.8539, 0.1891, 0.4850,-0.4926,-0.0076, 0.8702,-0.1650, 0.1940, 0.6150,-0.7462,Unknown,Low, 100.8427, 1.3899,-102.3210, 316.7872,-437.3430, 3.9524, 1.4551,-36.8557
12-Aug-2023 12:11:56.159,-0.0719,-0.4942,-0.8617, 0.0109,-0.0114, 0.0120,-0.0708, 0.0375,-0.0044,-0.0956, 0.5019,-1.3552, 0.1681,-0.9822, 0.0837, 0.8564, 0.1875, 0.4811,-0.4882,-0.0092, 0.8727,-0.1642, 0.1915, 0.6158,-0.7464,Unknown,Low, 100.8413, 1.5114,-102.3987, 316.9571,-437.4040, 4.3851, 1.7576,-36.9255
12-Aug-2023 12:11:56.260,-0.0663,-0.4825,-0.8826, 0.0149,-0.0075,-0.0083,-0.1202, 0.0285,-0.0015,-0.0927, 0.4957,-1.3565, 0.1688,-0.9823, 0.0814, 0.8595, 0.1871, 0.4756,-0.4824,-0.0103, 0.8759,-0.1626, 0.1887, 0.6164,-0.7470,Unknown,Low, 100.8413, 1.5114,-102.1946, 317.0560,-437.4522, 4.5041, 1.9821,-36.8216
12-Aug-2023 12:11:56.360,-0.0718,-0.4789,-0.8832, 0.0069,-0.0053,-0.0069,-0.0405, 0.0482,-0.0046,-0.0886, 0.4942,-1.3541, 0.1731,-0.9818, 0.0779, 0.8598, 0.1892, 0.4743,-0.4805,-0.0151, 0.8769,-0.1635, 0.1866, 0.6153,-0.7482,Unknown,Low, 100.8413, 1.5114,-102.3605, 317.1846,-437.2636, 4.4811, 2.1869,-36.9413
12-Aug-2023 12:11:56.461,-0.0772,-0.4666,-0.8828, 0.0009, 0.0059,-0.0067,-0.0535, 0.0199, 0.0287,-0.0885, 0.4928,-1.3506, 0.1767,-0.9812, 0.0778, 0.8598, 0.1924, 0.4731,-0.4791,-0.0167, 0.8776,-0.1634, 0.1858, 0.6141,-0.7495,Unknown,Low, 100.8413, 1.5114,-102.0129, 317.4369,-437.4356, 4.4075, 2.2526,-37.0559
12-Aug-2023 12:11:56.561,-0.0702,-0.4620,-0.8606, 0.0076, 0.0106, 0.0146,-0.0624, 0.0173, 0.0265,-0.0883, 0.4910,-1.3507, 0.1768,-0.9812, 0.0778, 0.8606, 0.1925, 0.4715,-0.4776,-0.0165, 0.8784,-0.1627, 0.1852, 0.6142,-0.7496,Unknown,Low, 100.8413, 1.5114,-101.8008, 317.3394,-436.8254, 4.3351, 2.0466,-36.9189
