Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
24-Aug-2023 17:26:53.843, 0.0437,-0.6249,-0.7299, 0.0137, 0.0009, 0.0580, 0.0985, 0.0902,-0.0039, 0.0347, 0.6813,-0.0248, 0.9996,-0.0029,-0.0269, 0.0192, 0.7765, 0.6298, 0.0191,-0.6301, 0.7763, 0.3342, 0.0122,-0.0059, 0.9424,Unknown,Low, 97.0946,-0.2140,-83.7579, 111.1149,-431.1257,-29.1583,-62.2796,-5.5180
24-Aug-2023 17:26:54.343, 0.0405,-0.6357,-0.7556, 0.0119,-0.0026, 0.0242,-0.0539, 0.0716,-0.1416, 0.0338, 0.6803, 2.1585,-0.5718, 0.8200,-0.0263,-0.6470,-0.4310, 0.6290, 0.5044, 0.3766, 0.7770, 0.1434, 0.3016, 0.8336, 0.4399,Unknown,Low, 97.0946,-0.2140,-81.7969, 111.3383,-431.1034,-27.4829,-62.3509,-5.6623
24-Aug-2023 17:26:54.843,-0.1734,-0.3077,-0.0805,-0.1732, 0.3564, 0.6277,-0.1249, 0.0633,-0.0210,-0.0090, 0.7131, 2.1856,-0.5719, 0.8203, 0.0068,-0.6179,-0.4362, 0.6542, 0.5396, 0.3700, 0.7563, 0.1643, 0.3080, 0.8313, 0.4325,Unknown,Low, 97.0946,-0.2140,-84.2177, 112.4243,-428.7804,-30.0247,-60.1669,-2.6941
24-Aug-2023 17:26:55.342, 0.1984,-0.4168,-1.0315,-0.0111, 0.1551,-0.2601,-1.0331, 1.0555,-1.2428, 0.3746, 0.3850, 1.9195,-0.4471, 0.8277,-0.3391,-0.8710,-0.3166, 0.3755, 0.2034, 0.4633, 0.8625,-0.0419, 0.2588, 0.8103, 0.5241,Unknown,Low, 97.0946,-0.2140,-63.7441, 125.6258,-435.6815,-8.1996,-47.8512,-9.0186
24-Aug-2023 17:26:55.842,-0.0991,-0.6518,-0.8322,-0.1217,-0.2809, 0.0910, 0.4942, 0.2636,-1.5661, 0.0522, 0.3840, 1.8733,-0.3162, 0.9475,-0.0483,-0.8851,-0.2762, 0.3746, 0.3416, 0.1612, 0.9259, 0.0924, 0.1688, 0.7935, 0.5774,Unknown,Low, 97.0946,-0.2140,-59.2428, 130.6343,-429.5090,-4.3889,-41.9097,-3.8719
24-Aug-2023 17:26:56.341,-0.0382,-0.2162,-0.9711,-0.0754, 0.0518,-0.0002,-0.8133,-0.3883,-0.0517, 0.0116, 0.2579, 1.8729,-0.3003, 0.9538,-0.0112,-0.9232,-0.2876, 0.2550, 0.2400, 0.0869, 0.9669, 0.0716, 0.1070, 0.7992, 0.5871,Unknown,Low, 97.0948,-0.2325,-56.2895, 133.9709,-434.0543,-2.2268,-39.1749,-8.6838
24-Aug-2023 17:26:56.841, 0.0446,-0.3509,-0.9457,-0.0382, 0.1282, 0.0921, 0.0575, 0.0045, 0.0087, 0.0059, 0.2527, 1.8850,-0.3105, 0.9506,-0.0057,-0.9208,-0.2993, 0.2500, 0.2359, 0.0828, 0.9682, 0.0717, 0.1037, 0.8028, 0.5828,Unknown,Low, 97.0948,-0.2325,-56.2229, 134.3490,-433.4518,-1.9328,-39.1117,-8.0837
24-Aug-2023 17:26:57.339,-0.0789,-0.2135,-1.0117,-0.0119, 0.0065,-0.0780,-0.1122, 0.0548, 0.0037,-0.0192, 0.2549, 1.9018,-0.3204, 0.9471, 0.0185,-0.9152,-0.3145, 0.2522, 0.2447, 0.0638, 0.9675, 0.0816, 0.0980, 0.8066, 0.5772,Unknown,Low, 97.0954,-0.2827,-56.9872, 135.6674,-433.4800,-3.2921,-37.7213,-8.3462
24-Aug-2023 17:26:57.841,-0.0564,-0.2274,-0.9641,-0.0389, 0.0575,-0.0010, 0.1622, 0.0767,-0.0100,-0.0248, 0.2702, 1.9157,-0.3318, 0.9431, 0.0239,-0.9070,-0.3258, 0.2669, 0.2595, 0.0669, 0.9634, 0.0875, 0.1031, 0.8095, 0.5714,Unknown,Low, 97.0954,-0.2827,-58.6188, 134.3062,-432.7496,-4.4217,-38.5355,-7.6051
24-Aug-2023 17:26:58.340,-0.0506,-0.2346,-0.9874,-0.0511, 0.0129,-0.0079,-0.1508, 0.0286,-0.0054,-0.0140, 0.2428, 1.9208,-0.3397, 0.9404, 0.0136,-0.9118,-0.3328, 0.2405, 0.2307, 0.0693, 0.9706, 0.0751, 0.0953, 0.8129, 0.5697,Unknown,Low, 97.0995,-0.6394,-59.0168, 134.1957,-432.2654,-4.3927,-39.5952,-6.8553
