Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,Lat,Long,Speed(m/s),TrueHeading,Alt(m),HorizontalAccuracy(m),VerticalAccuracy(m),Course,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
11-Sep-2023 12:42:12.879, 0.7491, 0.0179, 0.6625, 0.0155,-0.0749, 0.0835,-0.9299, 0.6129, 0.4261, 2.2264,-0.0904,-3.0885, 0.6050, 0.1038,-0.7894, 0.0529,-0.9945,-0.0903,-0.7945, 0.0129,-0.6072, 0.8954, 0.0438,-0.4422,-0.0288,41.387387,2.122461, 1.7423, 102.0, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.0841, 112.9767,-383.1572, 45.4510, 4.9557, 2.6874
11-Sep-2023 12:42:12.889, 0.6866, 0.0033, 0.6448,-0.0595,-0.0679, 0.0408,-0.9055, 0.7696, 0.4283, 2.2338,-0.0815,-3.0841, 0.6108, 0.0994,-0.7855, 0.0573,-0.9950,-0.0814,-0.7897, 0.0047,-0.6134, 0.8971, 0.0437,-0.4390,-0.0240,41.387387,2.122461, 1.7423, 102.0, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.0841, 112.9767,-383.1572, 45.4510, 4.9557, 2.6874
11-Sep-2023 12:42:12.898, 0.6620, 0.0041, 0.6479,-0.1046,-0.0700, 0.0234,-0.9136, 0.8444, 0.4377, 2.2422,-0.0726,-3.0796, 0.6174, 0.0952,-0.7809, 0.0618,-0.9955,-0.0725,-0.7842,-0.0035,-0.6205, 0.8991, 0.0436,-0.4352,-0.0192,41.387387,2.122461, 1.7423, 99.6, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.0841, 112.9767,-383.1572, 45.4518, 4.6203, 3.5510
11-Sep-2023 12:42:12.909, 0.6586,-0.0060, 0.6743,-0.1169,-0.0601, 0.0248,-0.9047, 0.8827, 0.4589, 2.2511,-0.0634,-3.0755, 0.6244, 0.0907,-0.7758, 0.0659,-0.9958,-0.0634,-0.7783,-0.0115,-0.6278, 0.9011, 0.0434,-0.4312,-0.0144,41.387387,2.122461, 1.7423, 99.6, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.0841, 112.9767,-383.1572, 45.4518, 4.6203, 3.5510
11-Sep-2023 12:42:12.919, 0.6758,-0.0239, 0.7278,-0.1088,-0.0658, 0.0534,-0.8597, 0.9453, 0.4900, 2.2605,-0.0543,-3.0717, 0.6318, 0.0862,-0.7703, 0.0697,-0.9961,-0.0542,-0.7720,-0.0194,-0.6354, 0.9032, 0.0431,-0.4269,-0.0096,41.387387,2.122461, 1.7423, 97.1, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.1915, 112.2581,-381.6036, 45.6321, 4.2582, 4.2649
11-Sep-2023 12:42:12.929, 0.7100,-0.0396, 0.7727,-0.0799,-0.0732, 0.0999,-0.8061, 1.0124, 0.5312, 2.2704,-0.0451,-3.0688, 0.6397, 0.0812,-0.7643, 0.0726,-0.9963,-0.0451,-0.7652,-0.0267,-0.6433, 0.9054, 0.0425,-0.4223,-0.0051,41.387387,2.122461, 1.7423, 97.1, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.1915, 112.2581,-381.6036, 45.6321, 4.2582, 4.2649
11-Sep-2023 12:42:12.939, 0.7600,-0.0667, 0.8031,-0.0344,-0.0827, 0.1320,-0.7508, 1.0678, 0.5776, 2.2810,-0.0359,-3.0664, 0.6481, 0.0761,-0.7578, 0.0751,-0.9965,-0.0359,-0.7579,-0.0336,-0.6515, 0.9078, 0.0416,-0.4174,-0.0006,41.387387,2.122461, 1.7423, 94.7, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.1915, 112.2581,-381.6036, 45.3544, 3.8076, 4.9365
11-Sep-2023 12:42:12.949, 0.8182,-0.0938, 0.8079, 0.0271,-0.1014, 0.1472,-0.6967, 1.1508, 0.6366, 2.2920,-0.0267,-3.0652, 0.6569, 0.0704,-0.7507, 0.0763,-0.9967,-0.0267,-0.7501,-0.0397,-0.6601, 0.9102, 0.0403,-0.4122, 0.0036,41.387387,2.122461, 1.7423, 94.7, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 105.1915, 112.2581,-381.6036, 45.3544, 3.8076, 4.9365
11-Sep-2023 12:42:12.959, 0.8640,-0.1325, 0.8041, 0.0907,-0.1223, 0.1377,-0.6521, 1.3004, 0.7034, 2.3043,-0.0173,-3.0645, 0.6665, 0.0643,-0.7427, 0.0770,-0.9969,-0.0173,-0.7415,-0.0456,-0.6694, 0.9128, 0.0387,-0.4065, 0.0078,41.387387,2.122461, 1.7423, 92.3, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 104.9515, 111.2063,-380.2582, 45.3690, 3.2034, 5.9685
11-Sep-2023 12:42:12.969, 0.9044,-0.1439, 0.7801, 0.1430,-0.1480, 0.1198,-0.5752, 1.4500, 0.7372, 2.3181,-0.0079,-3.0651, 0.6773, 0.0577,-0.7335, 0.0764,-0.9970,-0.0079,-0.7318,-0.0507,-0.6797, 0.9157, 0.0366,-0.4000, 0.0117,41.387387,2.122461, 1.7423, 92.3, 67.661530, 6.0, 3.0, 73.2,Walking,Med, 100.7013,-0.9882, 104.9515, 111.2063,-380.2582, 45.3690, 3.2034, 5.9685
