Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,Lat,Long,Speed(m/s),TrueHeading,Alt(m),HorizontalAccuracy(m),VerticalAccuracy(m),Course,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
09-Apr-2024 17:35:11.631,-0.1788,-0.6414,-0.7421,-0.0123, 0.0085,-0.0925, 0.1349,-0.0850,-0.0155,-0.2599, 0.7474,-0.2247, 0.9032,-0.3856, 0.1885, 0.1634, 0.7150, 0.6797,-0.3969,-0.5831, 0.7088, 0.3462,-0.1604,-0.1505, 0.9120,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.7790, 42.0442,-681.0113, 0.0000, 0.0000, 0.0000
09-Apr-2024 17:35:11.635,-0.1851,-0.6686,-0.7289,-0.0123, 0.0085,-0.0925,-0.0637,-0.1872,-0.0216,-0.2599, 0.7474,-0.2247, 0.9032,-0.3856, 0.1885, 0.1634, 0.7150, 0.6797,-0.3969,-0.5831, 0.7088, 0.3462,-0.1604,-0.1505, 0.9120,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.7790, 42.0442,-681.0113, 0.0000, 0.0000, 0.0000
09-Apr-2024 17:35:11.653,-0.1745,-0.6466,-0.6949, 0.0144,-0.0316, 0.0649,-0.0332,-0.1333,-0.0348,-0.2490, 0.6700, 2.9861,-0.9338, 0.3013, 0.1932,-0.1214,-0.7744, 0.6210, 0.3367, 0.5564, 0.7596, 0.1423, 0.3161, 0.9311, 0.1135,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.4779, 41.8958,-680.3467,-56.1395,-45.5201,-29.3000
09-Apr-2024 17:35:11.673,-0.1883,-0.6907,-0.6907, 0.0092,-0.0555, 0.0628, 0.0200,-0.1005,-0.0284,-0.2510, 0.6785, 2.9856,-0.9327, 0.3045, 0.1934,-0.1210,-0.7690, 0.6277, 0.3399, 0.5620, 0.7541, 0.1434, 0.3200, 0.9295, 0.1144,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.4779, 41.8958,-680.3467,-56.1207,-45.4612,-29.1737
09-Apr-2024 17:35:11.693,-0.2224,-0.7058,-0.6982,-0.0302,-0.0765, 0.0512, 0.0321,-0.0737,-0.0040,-0.2522, 0.6869, 2.9856,-0.9320, 0.3068, 0.1930,-0.1202,-0.7638, 0.6341, 0.3420, 0.5678, 0.7487, 0.1441, 0.3238, 0.9280, 0.1150,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.4609, 42.0535,-679.9753,-56.1812,-45.6115,-29.1775
09-Apr-2024 17:35:11.713,-0.2125,-0.6754,-0.6909,-0.0243,-0.0392, 0.0545,-0.0536,-0.0119,-0.0113,-0.2493, 0.6916, 2.9830,-0.9321, 0.3084, 0.1900,-0.1216,-0.7606, 0.6377, 0.3412, 0.5713, 0.7464, 0.1432, 0.3260, 0.9272, 0.1159,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.4609, 42.0535,-679.9753,-55.9981,-45.6664,-28.9069
09-Apr-2024 17:35:11.733,-0.1583,-0.6309,-0.7043, 0.0322, 0.0188, 0.0366,-0.1466, 0.0516,-0.0132,-0.2520, 0.7035, 2.9847,-0.9313, 0.3106, 0.1901,-0.1191,-0.7532, 0.6469, 0.3441, 0.5798, 0.7385, 0.1444, 0.3315, 0.9251, 0.1161,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.5049, 41.9896,-679.6138,-56.0715,-45.7167,-28.8914
09-Apr-2024 17:35:11.754,-0.1829,-0.6737,-0.7731, 0.0154,-0.0133, 0.0063,-0.1781,-0.0198, 0.0516,-0.2442, 0.7041, 2.9798,-0.9324, 0.3108, 0.1843,-0.1228,-0.7523, 0.6473, 0.3398, 0.5810, 0.7396, 0.1416, 0.3319, 0.9252, 0.1171,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.5049, 41.9896,-679.6138,-56.1218,-45.5294,-29.0343
09-Apr-2024 17:35:11.774,-0.1858,-0.6060,-0.7688, 0.0148, 0.0534,-0.0495,-0.0457,-0.1244, 0.0362,-0.2710, 0.7232, 2.9965,-0.9278, 0.3146, 0.2007,-0.1084,-0.7418, 0.6618, 0.3571, 0.5922, 0.7223, 0.1514, 0.3404, 0.9209, 0.1148,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.6574, 42.2877,-679.8608,-56.2511,-45.5165,-29.1178
09-Apr-2024 17:35:11.794,-0.2555,-0.6743,-0.6927,-0.0482,-0.0076, 0.0234, 0.0166, 0.0067,-0.0104,-0.2783, 0.7267, 3.0009,-0.9264, 0.3156, 0.2053,-0.1048,-0.7400, 0.6644, 0.3616, 0.5940, 0.7186, 0.1541, 0.3420, 0.9199, 0.1142,41.391306,2.139365, 7.4096, 58.2, 59.059856, 12.0, 3.0, 78.2,Unknown,Low, 101.5656,-2.9911, 50.5728, 42.4711,-679.6923,-56.4515,-45.0103,-28.8664
